,AT0 0
0,15357.209581731773
1,15223.571851162445
2,15184.404341116267
3,15180.207822182752
4,15177.410142893732
5,15143.837991425578
6,15124.21930353347
7,15101.31776443421
8,15087.63215169328
9,15008.150545908473
10,14978.774913373836
11,14954.994639417228
12,14940.935895007076
13,14905.135660021324
14,14896.11995711552
15,14861.51396387998
16,14861.272383235304
17,14859.873543590798
18,14848.682826434748
19,14820.70603354462
20,14752.852654308237
21,14723.255521708406
22,14704.602343050592
23,14702.691959783291
24,14696.209305183553
25,14687.816267316519
26,14676.625550160468
27,14673.827870871457
28,14643.053398692316
29,14640.255719403303
30,14637.458040114294
31,14636.316657653279
32,14636.038244674692
33,14634.660360825279
34,14624.868483313734
35,14623.46964366923
36,14596.891690423607
37,14595.492850779096
38,14582.232062299387
39,14521.354349620264
40,14510.163632464213
41,14503.169434241683
42,14502.119287534826
43,14482.187485303899
44,14477.271674092619
45,14475.192641351558
46,14472.394962062544
47,14465.400763840014
48,14465.400763840014
49,14443.019329527908
50,14440.221650238898
51,14422.036734860312
52,14363.28546979105
53,14363.28546979105
54,14361.886630146544
55,14347.932385900054
56,14333.199160727892
57,14328.314478678389
58,14294.262796756406
59,14289.938829465418
60,14258.48166325025
61,14247.66130525781
62,14228.75896337137
63,14210.811948539857
64,14153.459523115098
65,14139.255999757463
66,14136.790098585525
67,14133.87576809201
68,14131.238838888372
69,14125.745785871568
70,14120.42766800338
71,14089.112899467806
72,14068.824754982503
73,13999.587162219399
74,13985.59876577434
75,13981.402246840818
76,13971.610369329277
77,13952.374816336343
78,13933.7858235755
79,13928.246340349571
80,13914.1150492792
81,13905.864906037477
82,13890.477669947908
83,13890.445279864009
84,13884.882311369884
85,13879.44944461384
86,13875.090433858342
87,13867.968349330522
88,13840.11944274568
89,13838.720603101174
90,13833.395338203913
91,13814.940329144563
92,13796.755413765984
93,13770.177460520365
94,13763.183262297833
95,13746.030309658468
96,13740.801827985732
97,13736.605309052211
98,13735.206469407705
99,13724.79244347393
100,13722.616912607144
101,13718.420393673627
102,13672.258685404919
103,13656.073639922497
104,13644.28189251479
105,13637.287694292261
106,13635.888854647757
107,13624.698137491705
108,13619.102778913675
109,13613.507420335653
110,13610.939680125459
111,13607.912061757628
112,13595.322504957068
113,13581.334108512005
114,13574.339910289476
115,13571.769106192845
116,13553.892156074351
117,13550.559636332868
118,13526.779362376265
119,13522.582843442742
120,13516.341526587508
121,13492.735963364015
122,13472.10878992258
123,13465.961061447051
124,13454.03970086193
125,13451.242021572918
126,13441.551107813702
127,13427.188429402591
128,13426.062907971806
129,13412.461648996918
130,13410.675671882238
131,13372.907001480562
132,13370.891315539833
133,13364.513963613526
134,13351.924406812968
135,13351.550078562115
136,13317.01860638208
137,13311.358057122288
138,13307.161538188762
139,13295.970821032715
140,13294.34202047831
141,13291.774302099197
142,13279.055237953036
143,13276.239075839027
144,13267.803393507413
145,13245.612593830487
146,13241.416074896968
147,13239.583735361772
148,13226.311560900664
149,13222.8248579184
150,13203.647404495296
151,13193.786060846609
152,13192.456687339247
153,13189.132973392074
154,13185.462489116711
155,13178.468290894181
156,13177.384389593577
157,13172.85941763783
158,13165.878734093623
159,13165.353519823093
160,13164.76610628224
161,13163.08105480461
162,13160.657441365476
163,13153.869581108993
164,13153.093418826551
165,13152.90171026801
166,13115.520506891398
167,13114.412801198398
168,13111.32398795788
169,13100.61817892242
170,13090.341393290282
171,13082.368146715382
172,13062.364600400155
173,13044.74872421914
174,13030.256302631655
175,13025.994769642988
176,13020.399411064966
177,13016.202892131447
178,13011.7331315339
179,12994.7422058748
180,12989.624938885829
181,12982.630740663295
182,12974.286377844885
183,12974.237702796258
184,12972.838863151752
185,12964.445825284714
186,12960.249306351197
187,12945.345457683108
188,12935.070192750083
189,12934.443294928984
190,12929.474834172055
191,12922.480635949523
192,12922.196365532534
193,12911.891890699802
194,12911.711304365066
195,12911.289918793474
196,12905.982639971788
197,12904.295720570939
198,12902.896880926435
199,12882.81579963387
200,12879.739898466936
201,12852.974202690812
202,12831.750892613276
203,12825.96070047859
204,12820.28224766012
205,12817.926476211327
206,12811.705670789761
207,12804.978105810991
208,12796.585067943957
209,12785.394350787905
210,12779.798992209877
211,12778.400152565373
212,12770.007114698332
213,12764.233167169314
214,12754.619878608764
215,12746.38237864667
216,12746.226840741727
217,12733.223828541966
218,12730.839604652158
219,12728.041925363143
220,12718.618448861816
221,12710.696900495668
222,12709.160737522983
223,12701.554605362733
224,12700.065132473015
225,12694.469773894985
226,12666.492981004867
227,12663.649887328862
228,12660.360812338276
229,12659.713034820878
230,12653.670090094745
231,12642.712707048253
232,12639.915027759243
233,12618.93243309165
234,12607.741715935597
235,12603.54519700208
236,12602.146357357577
237,12600.664030128315
238,12598.114956621246
239,12596.504287621074
240,12595.451448806032
241,12590.955640201522
242,12586.759121268002
243,12586.757804856428
244,12579.764923045472
245,12576.44506461357
246,12573.527137221601
247,12572.770724822938
248,12568.57420588942
249,12568.55055495528
250,12559.72296748798
251,12558.782328377878
252,12547.79050831244
253,12546.19277157732
254,12533.603214776758
255,12523.005387922882
256,12515.418299398178
257,12502.828742597621
258,12493.036865086078
259,12491.63802544157
260,12491.63802544157
261,12491.63802544157
262,12479.048468641015
263,12476.037809592426
264,12472.054270418485
265,12470.65543077398
266,12467.857751484964
267,12461.258192215999
268,12460.863553262436
269,12445.02543806625
270,12435.17977850027
271,12433.937003011182
272,12431.455328484164
273,12418.904199812068
274,12417.499524282734
275,12412.009124222222
276,12411.882379929473
277,12409.73936388192
278,12400.30129026847
279,12391.79401915994
280,12390.921571037117
281,12388.512543940746
282,12382.489113244295
283,12368.540136725016
284,12367.322844176886
285,12355.950579924458
286,12351.754060990937
287,12347.55754205742
288,12343.965664309959
289,12342.902840911307
290,12341.845183986114
291,12341.234931172145
292,12338.318672300506
293,12333.299604436113
294,12331.762244665457
295,12329.372626678838
296,12322.378428456303
297,12312.586550944761
298,12309.644118041846
299,12304.193513077726
300,12304.193513077726
301,12301.231173925538
302,12293.19029866794
303,12286.008597699141
304,12283.528676985028
305,12281.812078765623
306,12261.004821287812
307,12260.790721350659
308,12253.835285875495
309,12248.871583047108
310,12244.04340836395
311,12241.245729074933
312,12233.225208620326
313,12227.899172816626
314,12223.060813696355
315,12219.393392797603
316,12215.577203395167
317,12210.505239100828
318,12201.772688789442
319,12199.527400813435
320,12194.432223161972
321,12185.292143294686
322,12179.69678471666
323,12163.854569971518
324,12161.24748168275
325,12152.23277248494
326,12151.79409820557
327,12141.928114314987
328,12127.939717869927
329,12127.843716790527
330,12123.858983120748
331,12123.743198936409
332,12123.56488686191
333,12104.159443913317
334,12087.248872417025
335,12071.796219660864
336,12071.28819055537
337,12047.854592771213
338,12028.622103109976
339,12021.646511203666
340,12016.032546309421
341,12012.9974016494
342,12000.493346047158
343,11990.539425111043
344,11978.189468173749
345,11974.06735697423
346,11967.279948573625
347,11962.876639818174
348,11956.267130722532
349,11955.882441595644
350,11948.888243373114
351,11947.76453534777
352,11943.292884795084
353,11931.044960963078
354,11928.386164293765
355,11925.107969416506
356,11911.119572971442
357,11909.782400650174
358,11907.766150767957
359,11900.826873406866
360,11898.530016170884
361,11897.131176526382
362,11884.541619725822
363,11880.345100792301
364,11859.362506124711
365,11838.379911457117
366,11835.582232168097
367,11824.391515012048
368,11822.837185730892
369,11797.813561766428
370,11795.32342872156
371,11795.015882477417
372,11788.292316385065
373,11769.116092428749
374,11751.651853497722
375,11740.609808753048
376,11732.554968742374
377,11721.377733198473
378,11715.98991590026
379,11708.466108295848
380,11699.894786650988
381,11698.041456063964
382,11695.698267717467
383,11681.538231831708
384,11679.82217938325
385,11678.912191983394
386,11677.549727136375
387,11674.922863174703
388,11669.120314471851
389,11668.429315215399
390,11659.61544612019
391,11659.227688379324
392,11643.025804573403
393,11641.143521581718
394,11634.149323359188
395,11625.756285492149
396,11600.193612692117
397,11594.637395273032
398,11588.512718687463
399,11588.237497220085
400,11580.886655829165
401,11580.235430573925
402,11579.594577223445
403,11571.201539356405
404,11544.944509930632
405,11539.551913520329
406,11536.613725861069
407,11533.296349928793
408,11530.88864893744
409,11513.849113931645
410,11512.785348896166
411,11511.331289673399
412,11511.05143464263
413,11508.361777788008
414,11495.664198553062
415,11484.473481397012
416,11477.021401795479
417,11471.883924596455
418,11470.426685625873
419,11469.353104187488
420,11469.086245307444
421,11453.468356857527
422,11442.217630411897
423,11436.912933483794
424,11435.468548623146
425,11434.115254194785
426,11430.549785144009
427,11422.81946788331
428,11421.35571849626
429,11412.851069523262
430,11405.988641799826
431,11396.566237345467
432,11394.266515674202
433,11389.76528385988
434,11389.036212477855
435,11387.953545926073
436,11385.578514543933
437,11373.971797153874
438,11362.415284035642
439,11358.128144319111
440,11350.872048215717
441,11350.1848755244
442,11346.627653576876
443,11334.910802876982
444,11333.663404537652
445,11330.601120501313
446,11330.601120501313
447,11329.190026270633
448,11327.554496079632
449,11324.114316842762
450,11320.809242989768
451,11319.668663654566
452,11319.46447665421
453,11319.410403345262
454,11316.61272405625
455,11313.747474483198
456,11310.808787449421
457,11304.023167255693
458,11301.225487966682
459,11300.902035143336
460,11298.893530784771
461,11296.481364115047
462,11290.34630987061
463,11287.237091521616
464,11286.733989505332
465,11285.838251877116
466,11276.181330481473
467,11275.610814566098
468,11270.321491221972
469,11269.946563875481
470,11269.168321846662
471,11268.879777828835
472,11267.65333649853
473,11266.254496854022
474,11259.919207404893
475,11258.737249189666
476,11252.075123030329
477,11250.844581519803
478,11248.069581475444
479,11247.15281186002
480,11234.081185030378
481,11232.146391549284
482,11230.04646299253
483,11226.349019367106
484,11225.994291600522
485,11220.092788585318
486,11219.818249745675
487,11218.696312814141
488,11218.20709532362
489,11214.674967281402
490,11210.300911073771
491,11210.240207981173
492,11206.10439214025
493,11200.016414735119
494,11197.711354273215
495,11194.903689886483
496,11190.126017202278
497,11187.944612832178
498,11184.204097421867
499,11173.9310803166
500,11164.281172075353
501,11164.13179685127
502,11162.740363160554
503,11161.341523516048
504,11158.47428148028
505,11155.294596071859
506,11150.150806359994
507,11147.353127070986
508,11146.63275393477
